"","Sample_number_dada2","location","comment","Fucoxanthin_mg_L","Dinoxanthin_mg_L","Diatoxanthin_mg_L","Zeaxanthin_mg_L","Lutein_mg_L","Chl_b_mg_L","Chl_a_mg_L","b_caroten_mg_L","Ammonia_ug_L","NO3_NO2_N_L","TP_ug_L","Temp_degC","Fish_biomass_g_pond","Food_Kg_pond","MC_ug_L","O2_mg_L","pH","Run","Season","Mic.Season","Month","Type","Year","Day"
"X22",22,"Res.","0","0.001318162","0","0","0","0.000275831","0","0.005042981","0",NA,NA,NA,"8.3","0","0","1.35E-10","10.43","8.02",1,"Winter","Wet","Jan","Reservoir","2013",14
"X23",23,"Res.","R1+R2","0.000550626","0","0","0","0.000438553","0.000498313","0.004802633","0","112.874","4298.7","17.717","14.2","0","0","1.99E-10","7.51","7.92",1,"Winter","Wet","Feb","Reservoir","2013",11
"X24",24,"Res.","0","0.036383567","0","0","0","0.002775746","0.005940875","0.041136337","0.00159573","10.775","2978.7","1.816","16.3","0","0","5.61E-09","11.48","8.37",1,"Spring","Wet","Mar","Reservoir","2013",28
"X25",25,"Res.","0","0.02408538","0","0","0","0.002778319","0.006512383","0.064076995","0.001000491","43.09","1260.6","3.62","16.5","0","0","2.16E-08","8.83","8.08",1,"Spring","Wet","Apr","Reservoir","2013",18
"X26",26,"Res.","0","0.015620604","0","0","0.001659591","0.00230276","0","0.047092","0.000711502","9.96","649.94","2.829","26.5","0","0","8.90E-09","7.78","8.07",1,"Spring","Dry","May","Reservoir","2013",27
"X27",27,"Res.","0","0.026715476","0.001036306","0","0.001999261","0.001494632","0","0.044644347","0.000595941","8.185","762.85","2.254","28.5","0","0","3.66E-08","4.28","7.83",1,"Summer","Dry","Jun","Reservoir","2013",24
"X28",28,"Res.","0","0.00307693","0","0.001897556","0.003840079","0.001457045","0","0.059244565","0.002401656","6.548","1246.5","1.601","31.3","0","0","1.21E-06","3.17","7.48",1,"Summer","Dry","Jul","Reservoir","2013",29
"X29",29,"Res.","0","0.011821513","0.000868196","0.001028839","0.002759998","0.001451328","0.00364386","0.049493085","0.000880345","5.648","1777.8","3.294","30","0","0",NA,"5.45","7.63",1,"Summer","Dry","Aug","Reservoir","2013",27
"X2",2,"P6.","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Winter","Wet","Feb",NA,"2013",11
"X30",30,"Res.","0","0.008291584","0","0","0.06378955","0","0","0.126083136","0.008980077","85.374","635.44","4.715","26.5","0","0","1.02E-06","3.96","8.04",1,"Autumn","Dry","Sep","Reservoir","2013",22
"X31",31,"Res.","0","0.021766293","0","0.006653231","0.002465516","0.00150431","0.005057255","0.052546241","0.001325187","143.511","1669.7","5.884","21","0","0","7.95E-07","7.5","8.45",1,"Autumn","Dry","Oct","Reservoir","2013",21
"X32",32,"Res.","0","0.016760236","0.00153252","0.003971693","0","0.002620823","0.010420362","0.087851601","0.001286847","363.33","2277.97","12.743","20.4","0","0","2.92E-07","6.33","7.44",1,"Autumn","Wet","Nov","Reservoir","2013",25
"X33",33,"Res.","0","0.000511376","0","0","0","0.001005425","0.002268572","0.006735328","0","275.5","5010.41","20.87","13","0","0","3.87E-09","7.63","7.94",1,"Winter","Wet","Dec","Reservoir","2013",23
"X34",34,"Res.","0","0.001427352","0.000690276","0","0","0.00274116","0.005568801","0.017759949","0","114.939","4652.3","9.183","16","0","0",NA,"7.75","7.98",1,"Winter","Wet","Jan","Reservoir","2014",21
"X35",35,"Res.","R+Rn2","0.001158454","0.000877306","0.004508687","0","0.003101517","0.01086953","0.036067794","0.000800646","0.973","3615.7","4.253","21","0","0","2.82E-08","10.97","8.04",1,"Winter","Wet","Feb","Reservoir","2014",25
"X36",36,"Res.","0","0.014786425","0.001818143","0","0","0.004933516","0.01388741","0.062550033","0.00111317","2.598","1512.1","5.836","23","0","0","3.79E-08","10.52","8.1",1,"Spring","Wet","Mar","Reservoir","2014",30
"X37",37,"Res.","0","0.027751479","0","0.001345031","0","0.003338556","0.007161837","0.038591995","0.000830945","62.36","895.554","3.727","25.5","0","0","7.86E-08","9.53","8.26",1,"Spring","Wet","Apr","Reservoir","2014",30
"X38",38,"Res.","duplicate batch 1","0.018072138","0","0","0","0.001906164","0","0.028872853","0.001191243","33.9705","28.7815","4.62","27.7","0","0","4.87E-08","10.22","8.04",1,"Spring","Dry","May","Reservoir","2014",28
"X39",39,"Res.","duplicate batch 1","0.0094583","0","0.000791754","0.002621096","0.001682753","0","0.028300242","0","11.179","1366.5","3.9665","28","0","0","6.13E-07","7.37","7.4",1,"Summer","Dry","Jun","Reservoir","2014",16
"X3",3,"P6.","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Spring","Wet","Apr",NA,"2013",18
"X40",40,"Res.","Sophi did the PCR","0.012708339","0","0","0.003266766","0.001403769","0.004826875","0.008601869","0.001688052","47.565","1339.3","5.0985","28.5","0","0","6.11E-07","3.53","7.55",1,"Summer","Dry","Jul","Reservoir","2014",23
"X41",41,"Res.","0","0.008502909","0.00311962","0.003534051","0.002734945","0.005535199","0.017451512","0.018034821","0.002440242","156.8915","1819.9","6.6675","30.3","0","0","4.97E-07","7.21","8.05",1,"Summer","Dry","Aug","Reservoir","2014",13
"X42",42,"Res.","duplicate batch 1","0.007235529","0.001390184","0.003750845","0.000748352","0.003229938","0.009768465","0.029173918","0.000934906","31.859","1628.4",NA,"25.7","0","0","1.55E-06","7.7","8.05",1,"Autumn","Dry","Oct","Reservoir","2014",29
"X43",43,"V2.","V2.2","0","0","0","0.0000334","0.0000471","0","0.000598412","0",NA,"0",NA,"7.8","0","0","1.62E-10","12.15","8.17",1,"Winter","Wet","Jan","Fishpond","2013",14
"X44",44,"V2.","0","0","0","0","0","0.000239196","0","0.001142389","0.0000532","114.511","2368.1","91.033","14.2","0","0",NA,"10.94","8.4",1,"Winter","Wet","Feb","Fishpond","2013",11
"X45",45,"V2.","0","0.003323643","0","0.001275423","0","0.002361203","0","0.022426764","0","133.685","152.49","77.635","16.4","0","0","4.21E-08","7.02","8.78",1,"Spring","Wet","Mar","Fishpond","2013",28
"X46",46,"V2.","0","0.097456936","0","0","0","0.010344377","0","0.293123242","0.005509161","147.289","178.389","75.406","17.7","0","0","3.65E-08","16.64","9.07",1,"Spring","Wet","Apr","Fishpond","2013",18
"X47",47,"V2.","0","0.001943876","0.002114974","0","0.005236858","0.002910517","0","0.051016198","0.001163471","144.723","39.2","29.502","25","100.7356","10.0414","1.17E-08","7.91","8.43",1,"Spring","Dry","May","Fishpond","2013",27
"X48",48,"V2.","0","0","0.003045777","0.002264906","0","0.034947932","0","0.083022912","0.005810769","66.432","34.042","264.06","29","159.53","42.037","1.65E-08","5.62","8.66",1,"Summer","Dry","Jun","Fishpond","2013",24
"X49",49,"V2.","duplicate batch 1","0.013013834","0.008070464","0","0.046247329","0","0","0.162452443","0.008607163","247.548","262.01","57.26","31.9","722.3125","84.016","2.26E-09","4.72","8.25",1,"Summer","Dry","Jul","Fishpond","2013",29
"X4",4,"P6.","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Spring","Dry","May",NA,"2013",27
"X50",50,"V2.","0","0.005027956","0.010842865","0.004416956","0.069548723","0","0","0.232379818","0","194.247","199.8","280.98","29.5","1600.4644","120.469","1.91E-09","8.7","8.84",1,"Summer","Dry","Aug","Fishpond","2013",27
"X51",51,"V2.","0","0","0","0","0.150286804","0","0","0.472986385","0","148.394","43.37","205.59","26","2705.09","154.438","1.96E-08","5.99","8.38",1,"Autumn","Dry","Sep","Fishpond","2013",22
"X52",52,"V2.","0","0.015081963","0.001901106","0","0","0.004486514","0","0.08544258","0","0","3917.4","4.75",NA,"0","0","5.52E-09",NA,NA,1,"Spring","Wet","Mar","Fishpond","2014",30
"X54",54,"V2.","0","0.060989474","0","0","0","0","0","0.140528995","0.000957517","18.973","1348.6","4.385","28.1","2107.0135","380.79","4.70E-08","9.99","8.37",1,"Spring","Dry","May","Fishpond","2014",28
"X55",55,"V2.","0","0.075453032","0","0","0.010436846","0.001768367","0","0.199283102","0.015335994","14.625","266","12.007","27.7","0","0","4.19E-07","9.39","8.93",1,"Summer","Dry","Jun","Fishpond","2014",16
"X56",56,"V2.","duplicate batch 1","0.013872482","0.013356041","0.014269168","0","0.020114702","0","0.131028672","0.003752403","31.306","56.012","228.624","22.3","0","0","3.14E-07","10","9.17",1,"Autumn","Dry","Oct","Fishpond","2014",29
"X57",57,"D1.","duplicate batch 1","0","0","0","0","0.000679903","0","0.003616118","0","154.4985","5328.6","41.483","14.7","0","0","3.62E-09",NA,"8.2",1,"Winter","Wet","Dec","Fishpond","2014",31
"X58",58,"Res.","control.SP00","0.000997361","0","0","0","0.001783731","0.00346961","0.010910792","0.000237986","129.973","3959.3","17.408","15.9","0","0","3.11E-09",NA,"7.9",1,"Winter","Wet","Dec","Reservoir","2014",31
"X59",59,"Res.","control.SP01","0.000997361","0","0","0","0.001783731","0.00346961","0.010910792","0.000237986","129.973","3959.3","17.408","15.9","0","0","3.11E-09",NA,"7.9",1,"Winter","Wet","Dec","Reservoir","2014",31
"X5",5,"P6.","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Summer","Dry","Jul",NA,"2013",29
"X60",60,"Res.","control.SP02","0.000997361","0","0","0","0.001783731","0.00346961","0.010910792","0.000237986","129.973","3959.3","17.408","15.9","0","0","3.11E-09",NA,"7.9",1,"Winter","Wet","Dec","Reservoir","2014",31
"X61",61,"Res.","control.SP03","0.000997361","0","0","0","0.001783731","0.00346961","0.010910792","0.000237986","129.973","3959.3","17.408","15.9","0","0","3.11E-09",NA,"7.9",1,"Winter","Wet","Dec","Reservoir","2014",31
"X62",62,"0","control_mothu_infiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0
"X63",63,"Res.","Ashraf did the PCR","0.001158454","0.000877306","0.004508687","0","0.003101517","0.01086953","0.036067794","0.000800646","0.973","3615.7","4.253","21","0","0","2.82E-08","10.97","8.04",1,"Winter","Wet","Feb","Reservoir","2014",25
"X64",64,"Res.","Ashraf did the PCR","0.012708339","0","0","0.003266766","0.001403769","0.004826875","0.008601869","0.001688052","47.565","1339.3","5.0985","28.5","0","0","6.11E-07","3.53","7.55",1,"Summer","Dry","Jul","Reservoir","2014",23
"X65",65,"0","control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Winter","Wet","Dec",NA,"2014",28
"X66",66,"0","control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Winter","Wet","Dec",NA,"2014",18
"X67",67,"0","control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Winter","Wet","Dec",NA,"2014",28
"X69",69,"D1.","0","0.005122576","0","0","0","0.001351286","0.002415787","0.003975939","0","93.582","283.69","9.946","30.5","5463.9557","159.90954",NA,"5.28","7.89",1,"Summer","Dry","Jun","Fishpond","2014",16
"X6",6,"P6.","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Summer","Dry","Aug",NA,"2013",27
"X7",7,"P6.","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Autumn","Dry","Sep",NA,"2013",22
"X8",8,"D1.","0","0.000314338","0","0","0","0.000074","0","0.001592833","0",NA,"0",NA,"8.9","0","0",NA,"11.84","8.01",1,"Winter","Wet","Jan","Fishpond","2013",14
"X9",9,"D1.","0","0","0","0","0","0.0000929","0","0.001148479","0","96.968","65.377","108.385","13.6","0","0",NA,"9.72","8.24",1,"Winter","Wet","Feb","Fishpond","2013",11
"X100",100,"D1.","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Winter","Wet","Jan","Fishpond","2015",28
"X101",101,"V2.","0","0.019091744","0.003959129","0","0.002316148","0.005344643",NA,"0.054935546",NA,"17.1745","13.081","12.638","17.3","0","0","1.48E-08","11.02","8.9",2,"Winter","Wet","Dec","Fishpond","2015",31
"X102",102,"D1.","duplicate batch 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0","0",NA,NA,NA,2,"Autumn","Dry","Oct","Fishpond","2014",6
"X103",103,"Res.","0","0.010416278","0","0","0","0.001374582","0.002101754","0.0097324","0.000271526","30.0405","5291.75","5.098","19","0","0","9.83E-09","9.21","8.31",2,"Winter","Wet","Dec","Reservoir","2015",31
"X104",104,"D1.","0","0.013430002","0.006639494","0","0.001543594","0.004396146","0","0.052834879","0.006048674","239.3545","223.531","12.5105","25","7809.0028","156.5741","5.72E-07","5.15","7.95",2,"Summer","Dry","Jun","Fishpond","2015",24
"X105",105,"Res.","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2940.35","12.5905","22.6","0","0","5.20E-07","10.24","8.39",2,"Autumn","Wet","Nov","Reservoir","2015",1
"X70",70,"Res.","duplicate batch 2","0.007235529","0.001390184","0.003750845","0.000748352","0.003229938","0.009768465","0.029173918","0.000934906","31.859","1628.4",NA,"25.7","0","0","1.55E-06","7.7","8.05",2,"Autumn","Dry","Oct","Reservoir","2014",29
"X71",71,"Res.","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Winter","Wet","Jan","Reservoir","2015",28
"X72",72,"Res.","0","0.019241102","0","0","0.003088827","0.004415202","0.009957833","0.046288404","0.001127917","154.315","2096.95","4.4445","20.4","0","0","5.63E-08","7.4","7.87",2,"Spring","Wet","Apr","Reservoir","2015",7
"X73",73,"Res.","0","0.020710528","0","0.001184233","0.000899359","0.002647311","0.005746382","0.044690914","0.000680617","28.3925","2839.25","3.361","28.2","0","0","1.18E-07","9.7","8.56",2,"Spring","Dry","May","Reservoir","2015",6
"X74",74,"Res.","0","0.013270602","0","0","0.001959745","0.003372141","0.006088474","0.041796676","0","18.2545","2016.9","8.853","27","0","0","1.01E-07","9.9","8.28",2,"Summer","Dry","Jun","Reservoir","2015",24
"X75",75,"Res.","0","0.008712328","0","0","0.001569939","0.002983167","0.007977029","0.041843027","0.001372047","20.458","1878.7","4.8935","27","0","0","3.42E-07","6.7","7.85",2,"Summer","Dry","Jul","Reservoir","2015",24
"X76",76,"Res.","0",NA,NA,NA,NA,NA,NA,NA,NA,"93.319","767.294","24.184","29.5","0","0",NA,"5.1","7.6",2,"Summer","Dry","Aug","Reservoir","2015",24
"X77",77,"Res.","0","0.010293614","0","0.00757401","0.0008502","0.001956542","0.008170497","0.04620217","0.001839336","10.821","2626.45","9.474","27.9","0","0","5.02E-07","7.89","8.15",2,"Autumn","Dry","Oct","Reservoir","2015",11
"X78",78,"D1.","duplicate batch 2","0","0","0","0","0.000679903","0","0.003616118","0","154.4985","5328.6","41.483","14.7","0","0","3.62E-09",NA,"8.2",2,"Winter","Wet","Dec","Fishpond","2014",31
"X79",79,"D1.","0","0.000151354","0","0","0","0.0000501","0","0.000494899","0","83.672","2349.65","64.077","18.4","0","0","1.85E-09","10.97","8.41",2,"Spring","Wet","Mar","Fishpond","2015",1
"X80",80,"D1.","0","0.008374843","0","0","0","0.002910279","0","0.044680135","0","5.1435","68.1085","13.38","21.8","4523.9408","89.4686","1.03E-07","7.48","8.54",2,"Spring","Wet","Apr","Fishpond","2015",7
"X81",81,"D1.","0","0.010487462","0","0","0.000665538","0.004096972","0.008476714","0.030479505","0.000419118","9.798","11.141","12.6895","27.2","6011.1652","118.5933","1.85E-07","10.08","8.73",2,"Spring","Dry","May","Fishpond","2015",6
"X82",82,"D1.","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Summer","Dry","Jul","Fishpond","2015",24
"X83",83,"D1.","0",NA,NA,NA,NA,NA,NA,NA,NA,"125.181","1860.85","10.272","29.8","16618.5532","355.9733",NA,"5.64","7.84",2,"Summer","Dry","Aug","Fishpond","2015",24
"X84",84,"V2.","duplicate batch 2","0.013872482","0.013356041","0.014269168","0","0.020114702","0","0.131028672","0.003752403","31.306","56.012","228.624","22.3","0","0","3.14E-07","10","9.17",2,"Autumn","Dry","Oct","Fishpond","2014",29
"X85",85,"V2.","0","0.013185754","0.014234494","0.0184429","0","0.035624361","0.06244722","0.267314401","0.007088474","45.236","6.84","38.274","14.5","0","0","2.53E-07",NA,"9.3",2,"Winter","Wet","Dec","Fishpond","2014",31
"X86",86,"V2.","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Winter","Wet","Jan","Fishpond","2015",28
"X87",87,"V2.","0","0.000457607","0","0","0","0.00027464","0","0.002022194","0",NA,"148.0765","116.9415","20.9","0","0","7.81E-09","6.44","8.05",2,"Spring","Wet","Mar","Fishpond","2015",1
"X88",88,"V2.","0","0.005602635","0","0.004502571","0","0.000885518","0","0.051778078","0.000879067","22.606","201.6025","3.835","21.2","2018.846","0","3.61E-08","10.7","9.05",2,"Spring","Wet","Apr","Fishpond","2015",7
"X89",89,"V2.","0","0.004403323","0","0","0.000735495","0.001345426","0","0.018586505","0.000408567","4.863","18.821","8.1455","26.7","348.1125","143.7425","8.38E-08","9.6","8.87",2,"Spring","Dry","May","Fishpond","2015",6
"X90",90,"V2.","0","0.001819835","0.000769154","0","0.003756886","0.000866875","0","0.025893997","0.000963524","21.7625","20.7515","86.3475","28","0","0",NA,"6.1","8.63",2,"Summer","Dry","Jun","Fishpond","2015",24
"X91",91,"V2.","0",NA,NA,NA,NA,NA,NA,NA,NA,"88.392","8.882","132.7205","29","0","0","1.04E-05","5.5","8.73",2,"Summer","Dry","Aug","Fishpond","2015",24
"X92",92,"0","negative control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0
"X93",93,"0","control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0
"X94",94,"V2.","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Autumn","Wet","Nov","Fishpond","2014",1
"X95",95,"Res.","0","0.007235529","0.001390184","0.003750845","0.000748352","0.003229938","0.009768465","0.029173918","0.000934906","31.859","1628.4",NA,"25.7","0","0","1.55E-06","7.7","8.05",2,"Autumn","Dry","Oct","Reservoir","2014",29
"X96",96,"Res.","0","0.001041533","0","0","0","0.001081529","0.001537013","0.009507329","0","37.0505","3705.05","32.004","18.7","0","0","7.12E-08","8.3","8.17",2,"Spring","Wet","Mar","Reservoir","2015",1
"X97",97,"V2.","duplicate batch 2","0.013013834","0.008070464","0","0.046247329","0","0","0.162452443","0.008607163","247.548","262.01","57.26","31.9","722.3125","84.016","2.26E-09","4.72","8.25",2,"Summer","Dry","Jul","Fishpond","2013",29
"X98",98,"Res.","duplicate batch 2","0.018072138","0","0","0","0.001906164","0","0.028872853","0.001191243","33.9705","28.7815","4.62","27.7","0","0","4.87E-08","10.22","8.04",2,"Spring","Dry","May","Reservoir","2014",28
"X99",99,"Res.","duplicate batch 2","0.0094583","0","0.000791754","0.002621096","0.001682753","0","0.028300242","0","11.179","1366.5","3.9665","28","0","0","6.13E-07","7.37","7.4",2,"Summer","Dry","Jun","Reservoir","2014",16
