;Class;Order;Family
denovo137715;Cyanobacteria;SubsectionI;FamilyI
denovo104444;Betaproteobacteria;Burkholderiales;Burkholderiaceae
denovo41391;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo26;Betaproteobacteria;Methylophilales;Methylophilaceae
denovo150590;Actinobacteria;Frankiales;Sporichthyaceae
denovo120882;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae
denovo109476;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo1824;Deltaproteobacteria;Bradymonadales;uncultured delta proteobacterium
denovo137576;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo71521;Betaproteobacteria;Burkholderiales;Burkholderiaceae
denovo114082;Flavobacteriia;Flavobacteriales;NS9 marine group
denovo100055;Cytophagia;Cytophagales;Cytophagaceae
denovo60982;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo47260;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo93552;Opitutae;Opitutae vadinHA64;uncultured bacterium
denovo12899;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
denovo65809;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo64353;Betaproteobacteria;Burkholderiales;Burkholderiaceae
denovo103341;Cyanobacteria;SubsectionIII;FamilyI
denovo43117;Cyanobacteria;SubsectionI;FamilyI
denovo84889;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo145583;Chloroplast;0;0
denovo158603;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo151438;Cytophagia;Cytophagales;Cytophagaceae
denovo82428;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo154883;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
denovo1110;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
denovo148545;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae
denovo14839;Gammaproteobacteria;Vibrionales;Vibrionaceae
denovo38678;Cytophagia;Cytophagales;Cytophagaceae
denovo19788;Cyanobacteria;SubsectionI;FamilyI
denovo144851;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo3851;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo126521;0;0;0
denovo70026;Betaproteobacteria;Methylophilales;Methylophilaceae
denovo145776;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo72397;Chlorobia;Chlorobiales;OPB56
denovo83247;Betaproteobacteria;Methylophilales;Methylophilaceae
denovo38959;Actinobacteria;Frankiales;Sporichthyaceae
denovo63948;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo22974;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo159017;Cytophagia;Cytophagales;Cyclobacteriaceae
denovo113618;Cyanobacteria;SubsectionIII;FamilyI
denovo118904;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo101846;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae
denovo6965;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo86087;Actinobacteria;Frankiales;Sporichthyaceae
denovo85146;Gammaproteobacteria;Run-SP154;uncultured bacterium
denovo131031;OPB35 soil group;uncultured bacterium;0
denovo69356;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo115468;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo158654;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo102309;Opitutae;Opitutae vadinHA64;uncultured bacterium
denovo106134;Gammaproteobacteria;Methylococcales;Methylococcaceae
denovo26085;Betaproteobacteria;Burkholderiales;Oxalobacteraceae
denovo33826;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo117631;Gammaproteobacteria;Aeromonadales;Aeromonadaceae
denovo4943;Actinobacteria;Micrococcales;Microbacteriaceae
denovo82263;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae
denovo8290;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
denovo151332;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo72817;Cyanobacteria;SubsectionIII;FamilyI
denovo29291;Cytophagia;Cytophagales;Cyclobacteriaceae
denovo101954;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo135490;Fusobacteriia;Fusobacteriales;Fusobacteriaceae
denovo2020;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae
denovo24868;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo44680;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo148184;Chlorobia;Chlorobiales;OPB56
denovo90571;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo55643;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo116542;Actinobacteria;Frankiales;Sporichthyaceae
denovo12084;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo18119;Bacteroidetes Incertae Sedis;Order III;CK06-06-Mud-MAS4B-21
denovo45461;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
denovo117587;Cytophagia;Cytophagales;Cyclobacteriaceae
denovo153382;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
denovo102899;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae
denovo129222;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae
denovo91758;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo22405;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae
denovo3745;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo129877;Betaproteobacteria;Burkholderiales;Oxalobacteraceae
denovo106040;Actinobacteria;Frankiales;Sporichthyaceae
denovo46633;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo121334;Cyanobacteria;SubsectionIV;FamilyI
denovo120851;Chlorobia;Chlorobiales;OPB56
denovo126659;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae
denovo66169;Gammaproteobacteria;Chromatiales;Chromatiaceae
denovo96348;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo113818;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo116762;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo163212;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo154661;Deltaproteobacteria;Bradymonadales;uncultured bacterium
denovo22916;Cytophagia;Cytophagales;Cytophagaceae
denovo151542;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo97961;Actinobacteria;Frankiales;Sporichthyaceae
denovo14132;uncultured bacterium;0;0
denovo132557;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
denovo131438;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo54225;Actinobacteria;Micrococcales;Microbacteriaceae
denovo76544;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo145895;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo54767;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo18798;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo58184;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae
denovo63215;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo36481;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo36184;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae
denovo74731;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo139921;Flavobacteriia;Flavobacteriales;NS9 marine group
denovo66496;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo154506;Bacteroidetes VC2.1 Bac22;uncultured Bacteroidetes bacterium;0
denovo43667;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo29806;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo54531;Cytophagia;Cytophagales;Cytophagaceae
denovo40512;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae
denovo2916;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae
denovo82130;Cytophagia;Cytophagales;Cyclobacteriaceae
denovo29629;Gammaproteobacteria;Xanthomonadales;uncultured
denovo67277;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo125591;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo36549;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
denovo123327;Alphaproteobacteria;Rickettsiales;Mitochondria
denovo161914;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo12316;Actinobacteria;Micrococcales;Microbacteriaceae
denovo90083;Actinobacteria;Frankiales;Sporichthyaceae
denovo125530;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae
denovo16155;Actinobacteria;Frankiales;Sporichthyaceae
denovo69131;Gammaproteobacteria;Xanthomonadales;Xanthomonadales Incertae Sedis
denovo143030;Cytophagia;Cytophagales;Cytophagaceae
denovo132438;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo108261;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo53185;Betaproteobacteria;Burkholderiales;Burkholderiaceae
denovo122580;Sphingobacteriia;Sphingobacteriales;uncultured
denovo145704;Deltaproteobacteria;SAR324 clade(Marine group B);uncultured bacterium
denovo81171;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo159331;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
denovo133414;Phycisphaerae;Phycisphaerales;Phycisphaeraceae
denovo122329;Betaproteobacteria;Neisseriales;Neisseriaceae
denovo8424;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo32736;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo100147;Actinobacteria;Micrococcales;Microbacteriaceae
denovo122296;Gammaproteobacteria;Xanthomonadales;Xanthomonadales Incertae Sedis
denovo43351;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo136133;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo9437;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo141478;Betaproteobacteria;Burkholderiales;Burkholderiaceae
denovo137127;Cyanobacteria;SubsectionI;FamilyI
denovo63932;Alphaproteobacteria;Rhizobiales;A0839
denovo126639;Gammaproteobacteria;Xanthomonadales;0
denovo51299;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae
denovo82192;Spartobacteria;Chthoniobacterales;LD29
denovo64485;Gammaproteobacteria;Cellvibrionales;Halieaceae
denovo104278;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae
denovo17906;Melainabacteria;Caenarcaniphilales;uncultured cyanobacterium
denovo142620;Sphingobacteriia;Sphingobacteriales;env.OPS 17
denovo127770;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo128854;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo14027;Spartobacteria;Chthoniobacterales;LD29
denovo6914;Blastocatellia;Blastocatellales;Blastocatellaceae (Subgroup 4)
denovo92192;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo44351;Caldilineae;Caldilineales;Caldilineaceae
denovo151919;Betaproteobacteria;Burkholderiales;Burkholderiaceae
denovo39705;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae
denovo39126;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo24993;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo122762;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae
denovo59705;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo152025;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
denovo34613;Actinobacteria;Frankiales;Sporichthyaceae
denovo843;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo43895;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo48801;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo61616;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo71135;Anaerolineae;Anaerolineales;Anaerolineaceae
denovo44312;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo60409;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo80695;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo79257;Betaproteobacteria;Burkholderiales;Burkholderiaceae
denovo115942;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae
denovo12477;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae
denovo47003;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo152259;Actinobacteria;PeM15;0
denovo134359;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae
denovo84957;Cytophagia;Cytophagales;Cyclobacteriaceae
denovo44371;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae
denovo125295;Bacteroidetes Incertae Sedis;Order III;BIgi5
denovo30220;Fusobacteriia;Fusobacteriales;Hados.Sed.Eubac.3
denovo60005;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae
denovo20572;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
denovo50871;Chlorobia;Chlorobiales;OPB56
denovo134718;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
denovo67844;Anaerolineae;Anaerolineales;Anaerolineaceae
denovo121132;Gammaproteobacteria;Xanthomonadales;uncultured
denovo82286;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo127720;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo128143;Sphingobacteriia;Sphingobacteriales;env.OPS 17
denovo48148;Actinobacteria;Micrococcales;Microbacteriaceae
denovo135192;Blastocatellia;Blastocatellales;Blastocatellaceae (Subgroup 4)
denovo141637;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo4983;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
denovo139047;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo82418;Gammaproteobacteria;Xanthomonadales;uncultured
denovo148188;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo18918;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
denovo97282;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo99386;Cytophagia;Cytophagales;Cyclobacteriaceae
denovo128108;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo103243;Betaproteobacteria;Burkholderiales;Burkholderiaceae
denovo25519;Actinobacteria;Micrococcales;Microbacteriaceae
denovo106388;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae
denovo82897;Betaproteobacteria;Methylophilales;Methylophilaceae
denovo10475;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo133043;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo110935;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
denovo101468;Actinobacteria;Micrococcales;Microbacteriaceae
denovo133352;Spartobacteria;Chthoniobacterales;Chthoniobacterales Incertae Sedis
denovo148009;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo91980;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family
denovo124711;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo36657;Cytophagia;Cytophagales;Cytophagaceae
denovo84509;Bacteroidetes Incertae Sedis;Order III;CK06-06-Mud-MAS4B-21
denovo94716;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae
denovo148358;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae
denovo101023;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae
denovo52554;Actinobacteria;Micrococcales;Microbacteriaceae
denovo26567;Gammaproteobacteria;Xanthomonadales;Xanthomonadales Incertae Sedis
denovo121581;Gammaproteobacteria;Chromatiales;Chromatiaceae
denovo34030;Gammaproteobacteria;Xanthomonadales;Xanthomonadales Incertae Sedis
denovo28539;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
denovo138121;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo2181;Gammaproteobacteria;Run-SP154;uncultured bacterium
denovo9555;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo146476;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
denovo121075;Cytophagia;Cytophagales;Cytophagaceae
denovo63812;Sphingobacteriia;Sphingobacteriales;env.OPS 17
denovo87068;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo12557;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
denovo66223;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo24179;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo131443;Betaproteobacteria;Methylophilales;Methylophilaceae
denovo125292;Acidimicrobiia;Acidimicrobiales;uncultured
denovo49378;Cytophagia;Cytophagales;Cyclobacteriaceae
denovo49427;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo104505;Gammaproteobacteria;Chromatiales;Chromatiaceae
denovo139948;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo155198;Flavobacteriia;Flavobacteriales;NS9 marine group
denovo105266;Gammaproteobacteria;Chromatiales;Chromatiaceae
denovo148533;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo68674;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo52590;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo123933;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo130513;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
denovo114637;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo42177;Verrucomicrobia Incertae Sedis;Unknown Order;Unknown Family
denovo36605;Opitutae;Opitutae vadinHA64;uncultured bacterium
denovo13414;Chlorobia;Chlorobiales;OPB56
denovo66639;Gammaproteobacteria;Chromatiales;Chromatiaceae
denovo109306;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo143200;Deltaproteobacteria;Desulfarculales;Desulfarculaceae
denovo128580;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo49910;Bacteroidetes Incertae Sedis;Order III;CK06-06-Mud-MAS4B-21
denovo7902;Opitutae;Opitutales;Opitutaceae
denovo2620;Opitutae;Opitutales;Opitutaceae
denovo117075;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
denovo130474;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae
denovo87555;Betaproteobacteria;Methylophilales;Methylophilaceae
denovo75944;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae
denovo8016;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae
denovo149380;Gammaproteobacteria;uncultured;uncultured bacterium
denovo29714;Cyanobacteria;SubsectionIII;FamilyI
denovo38328;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo13291;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae
denovo33805;Bacteroidia;Bacteroidia Incertae Sedis;Draconibacteriaceae
denovo10772;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo58491;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo119254;Phycisphaerae;Phycisphaerales;Phycisphaeraceae
denovo9846;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
denovo132899;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo156476;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae
denovo102896;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo77420;Actinobacteria;Micrococcales;Microbacteriaceae
denovo141513;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo112029;uncultured bacterium;0;0
denovo12192;Caldilineae;Caldilineales;Caldilineaceae
denovo144073;Bacteroidetes Incertae Sedis;Order III;BIgi5
denovo114793;Betaproteobacteria;Burkholderiales;Burkholderiaceae
denovo62237;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae
denovo8013;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae
denovo150939;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
denovo95083;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo116180;Sphingobacteriia;Sphingobacteriales;env.OPS 17
denovo27276;Actinobacteria;Micrococcales;Microbacteriaceae
denovo116244;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
denovo46804;Cyanobacteria;SubsectionI;FamilyI
denovo156014;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo150234;Bacteroidia;Bacteroidia Incertae Sedis;Draconibacteriaceae
denovo102885;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo147731;Flavobacteriia;Flavobacteriales;NS7 marine group
denovo88983;Actinobacteria;Micrococcales;Microbacteriaceae
denovo7019;Cyanobacteria;SubsectionIII;FamilyI
denovo156872;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo79453;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo135122;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae
denovo20222;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
denovo82306;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo99261;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo69790;Anaerolineae;Anaerolineales;Anaerolineaceae
denovo28907;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo19818;Planctomycetacia;Planctomycetales;Planctomycetaceae
denovo84206;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae
denovo148457;Gammaproteobacteria;Xanthomonadales;Xanthomonadales Incertae Sedis
denovo162686;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo103505;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo88637;Flavobacteriia;Flavobacteriales;NS9 marine group
denovo111633;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae
denovo4995;Gammaproteobacteria;Xanthomonadales;Xanthomonadales Incertae Sedis
denovo9059;Actinobacteria;Frankiales;Sporichthyaceae
denovo13386;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo30613;Flavobacteriia;Flavobacteriales;NS9 marine group
denovo8555;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
denovo30986;Betaproteobacteria;Burkholderiales;Oxalobacteraceae
denovo155313;Actinobacteria;Micrococcales;Microbacteriaceae
denovo103360;Phycisphaerae;Phycisphaerales;Phycisphaeraceae
denovo37807;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo134523;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae
denovo109815;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo92926;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo158789;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo121756;SBR2076;uncultured bacterium;0
denovo24675;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae
denovo81365;Betaproteobacteria;Burkholderiales;Burkholderiaceae
denovo108544;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
denovo58423;Clostridia;Clostridiales;Ruminococcaceae
denovo128060;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo39195;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae
denovo144810;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo28694;Chloroplast;0;0
denovo122575;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo60641;Phycisphaerae;Phycisphaerales;Phycisphaeraceae
denovo125006;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo120875;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae
denovo90115;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo49698;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo56248;Gammaproteobacteria;Xanthomonadales;Xanthomonadales Incertae Sedis
denovo158811;Cyanobacteria;SubsectionIII;FamilyI
denovo24428;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo90178;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo126160;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo118095;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo162013;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo132347;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae
denovo17787;Cyanobacteria;SubsectionI;FamilyI
denovo54169;Cytophagia;Cytophagales;Flammeovirgaceae
denovo43996;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo40273;Phycisphaerae;Phycisphaerales;Phycisphaeraceae
denovo66871;Cytophagia;Cytophagales;Cytophagaceae
denovo132161;Bacteroidetes VC2.1 Bac22;0;0
denovo93557;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo126880;Opitutae;Opitutales;Opitutaceae
denovo114379;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo93053;Chlorobia;Chlorobiales;OPB56
denovo18186;Chlorobia;Chlorobiales;OPB56
denovo6708;Cyanobacteria;SubsectionIII;FamilyI
denovo84920;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae
denovo60872;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
denovo126642;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo96837;Gammaproteobacteria;Xanthomonadales;0
denovo162461;OPB35 soil group;uncultured bacterium;0
denovo58502;Flavobacteriia;Flavobacteriales;NS9 marine group
denovo157293;Gammaproteobacteria;Xanthomonadales;Xanthomonadales Incertae Sedis
denovo119455;Cytophagia;Cytophagales;Cytophagaceae
denovo137796;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo135752;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo75997;Actinobacteria;Micrococcales;Microbacteriaceae
