OUT,Phylum,Order,Class,Family,Species
denovo158141,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
denovo26,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Pseudarcicella
denovo63463,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12 marine group,uncultured bacterium
denovo87166,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
denovo104444,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,
denovo99827,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacterales Incertae Sedis,Terrimicrobium
denovo101846,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,uncultured
denovo163582,Proteobacteria,Betaproteobacteria,Burkholderiales,V2.5Dec+BX1:CB1.,Polynucleobacter
denovo71521,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,
denovo154883,Verrucomicrobia,Spartobacteria,Chthoniobacterales,DA101 soil group,uncultured bacterium
denovo154854,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo47260,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
denovo16051,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo109476,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Azohydromonas
denovo105225,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Sediminibacterium
denovo137576,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Solitalea
denovo23904,Chlorobi,Chlorobia,Chlorobiales,OPB56,uncultured bacterium
denovo60982,Verrucomicrobia,Opitutae,Opitutae vadinHA64,uncultured bacterium,
denovo150590,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter
denovo34539,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,uncultured
denovo100055,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Sediminibacterium
denovo155990,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,NS10 marine group
denovo120882,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,
denovo12899,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
denovo114082,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
denovo151438,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
denovo26420,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NS3a marine group
denovo59173,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,
denovo64353,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,MWH-UniP1 aquatic group
denovo67446,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,MWH-UniP1 aquatic group
denovo93552,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,Acidibacter
denovo126521,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Dinghuibacter
denovo158603,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29 marine group
denovo65809,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Dinghuibacter
denovo1110,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Lewinella
denovo41391,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
denovo19788,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella
denovo145776,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
denovo72397,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Niastella
denovo45461,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans
denovo38678,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
denovo82428,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,uncultured
denovo97950,Bacteroidetes,Flavobacteriia,Flavobacteriales,NS9 marine group,
denovo12316,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,uncultured,
denovo67281,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12 marine group,uncultured bacterium
denovo14839,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia
denovo63948,Chlorobi,Chlorobia,Chlorobiales,OPB56,uncultured bacterium
denovo113618,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Paucimonas
denovo144851,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
denovo86087,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
denovo3851,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured
denovo137715,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,
denovo158654,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,uncultured
denovo84889,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,OM43 clade
denovo24868,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Haliscomenobacter
denovo85146,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Malikia
denovo102309,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured
denovo151332,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methyloparacoccus
denovo148545,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium
denovo117631,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,
denovo4943,Proteobacteria,Gammaproteobacteria,Run-SP154,uncultured bacterium,
denovo148184,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,MWH-UniP1 aquatic group
denovo66169,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,MWH-UniP1 aquatic group
denovo70026,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Planktothricoides
denovo55643,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured
denovo131031,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,
denovo135490,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Arcicella
denovo2020,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured
denovo38959,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans
denovo115468,Proteobacteria,Deltaproteobacteria,Bradymonadales,uncultured delta proteobacterium,
denovo22974,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,MWH-UniP1 aquatic group
denovo33826,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,uncultured
denovo104496,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
denovo26085,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
denovo6965,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
denovo36549,Chlorobi,Chlorobia,Chlorobiales,OPB56,uncultured bacterium
denovo139921,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured
denovo106134,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12 marine group,uncultured bacterium
denovo143030,Verrucomicrobia,OPB35 soil group,uncultured bacterium,,
denovo129222,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera
denovo96348,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,12up
denovo8290,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
denovo101954,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,uncultured
denovo82263,Proteobacteria,,,,
denovo46633,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,BD1-7 clade
denovo106040,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,uncultured
denovo83247,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Pseudohongiella
denovo102899,Verrucomicrobia,Opitutae,Opitutae vadinHA64,uncultured bacterium,
denovo120851,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Azohydromonas
denovo76544,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
denovo43667,Bacteroidetes,Bacteroidetes VC2.1 Bac22,uncultured Bacteroidetes bacterium,,
denovo22916,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29 marine group
denovo43117,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Dinghuibacter
denovo131438,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,
denovo12084,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Pseudohongiella
denovo116762,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
denovo90083,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29 marine group
denovo91758,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
denovo118904,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12 marine group,uncultured bacterium
denovo113818,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Alpinimonas
denovo54767,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,uncultured
denovo103341,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus
denovo163212,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Limnoluna
denovo125591,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,BD1-7 clade
denovo1824,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,
denovo22405,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans
denovo159331,Cyanobacteria,Cyanobacteria,SubsectionIV,FamilyI,
denovo54225,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29 marine group
denovo159017,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans
denovo29291,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,
denovo61616,Bacteroidetes,Flavobacteriia,Flavobacteriales,NS9 marine group,uncultured bacterium
denovo141478,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12 marine group,uncultured bacterium
denovo153382,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter
denovo127770,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
denovo117587,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,
denovo108261,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
denovo49378,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus Planktophila
denovo3745,Planctomycetes,OM190,uncultured bacterium,,
denovo40512,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,
denovo51299,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
denovo16155,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Phaeodactylibacter
denovo66496,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5) clade
denovo18119,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12 marine group,uncultured bacterium
denovo97961,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured
denovo53185,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus
denovo90571,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
denovo2916,Cyanobacteria,Melainabacteria,Caenarcaniphilales,uncultured cyanobacterium,
denovo10475,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29 marine group
denovo101468,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
denovo154506,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter
denovo69131,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,
denovo126659,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,uncultured
denovo121132,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,uncultured
denovo122296,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
denovo36184,Actinobacteria,Actinobacteria,PeM15,,
denovo104505,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,
denovo39705,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12 marine group,uncultured bacterium
denovo36481,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured
denovo47003,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12 marine group,uncultured bacterium
denovo161914,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,uncultured
denovo67277,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured
denovo64485,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured
denovo132557,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
denovo130513,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),uncultured bacterium,
denovo74731,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus
denovo69356,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Planktoluna
denovo128854,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,uncultured
denovo134718,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas
denovo122762,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
denovo132438,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Verticia
denovo100147,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
denovo145895,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
denovo152025,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Pseudohongiella
denovo121334,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans
denovo63932,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured
denovo104278,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
denovo72817,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae UCG-004
denovo82897,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,
denovo17906,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
denovo9437,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured
denovo34613,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncultured
denovo103243,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Sediminibacterium
denovo139047,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3
denovo44680,Bacteroidetes,Bacteroidetes Incertae Sedis,Order III,BIgi5,uncultured bacterium
denovo128108,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
denovo39126,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
denovo67844,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera
denovo145704,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,NS10 marine group
denovo116542,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Dinghuibacter
denovo66223,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,Acidibacter
denovo141637,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,
denovo133414,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
denovo81171,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,uncultured
denovo156014,Proteobacteria,Gammaproteobacteria,uncultured,uncultured bacterium,
denovo36605,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
denovo48148,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29 marine group
denovo32736,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29 marine group
denovo12477,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,
denovo125530,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12 marine group,
denovo102885,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,uncultured
denovo28539,Bacteroidetes,Bacteroidetes Incertae Sedis,Order III,CK06-06-Mud-MAS4B-21,uncultured bacterium
denovo115942,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,
denovo24993,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,uncultured
denovo43895,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,MWH-UniP1 aquatic group
denovo29806,Proteobacteria,Alphaproteobacteria,Rhizobiales,A0839,uncultured bacterium
denovo136133,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera
denovo82418,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans
denovo4983,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,Acidibacter
denovo122580,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,uncultured
denovo91980,Proteobacteria,Gammaproteobacteria,Xanthomonadales,uncultured,uncultured bacterium
denovo63215,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans
denovo30220,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12 marine group,uncultured bacterium
denovo82130,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
denovo9555,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,uncultured
denovo92192,Proteobacteria,Gammaproteobacteria,Xanthomonadales,uncultured,uncultured bacterium
denovo48801,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured
denovo127720,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,uncultured
denovo105266,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,uncultured
denovo134359,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
denovo142834,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29 marine group
denovo6914,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,
denovo44351,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia
denovo126639,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans
denovo152259,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,MWH-UniP1 aquatic group
denovo44312,Bacteroidetes,Bacteroidetes Incertae Sedis,Order III,CK06-06-Mud-MAS4B-21,uncultured bacterium
denovo97282,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,uncultured
denovo135122,Cyanobacteria,Cyanobacteria,SubsectionIV,FamilyI,
denovo36657,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,uncultured bacterium
denovo136951,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
denovo142620,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,uncultured,
denovo14132,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,
denovo12557,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,BD1-7 clade
denovo121581,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera
denovo34030,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
denovo151919,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
denovo155198,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
denovo38328,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,
denovo146476,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,uncultured
denovo756,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans
denovo87068,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,uncultured
denovo29629,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Sediminibacterium
denovo2181,Proteobacteria,Gammaproteobacteria,Xanthomonadales,uncultured,uncultured bacterium
denovo62237,Bacteroidetes,Flavobacteriia,Flavobacteriales,NS9 marine group,uncultured bacterium
denovo121075,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas
denovo130474,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,Acidibacter
denovo158811,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter
denovo148009,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12 marine group,uncultured bacterium
denovo87555,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12 marine group,uncultured bacterium
denovo133352,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,uncultured
denovo106388,Chlorobi,Chlorobia,Chlorobiales,OPB56,
denovo125292,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfatiglans
denovo143200,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured
denovo133043,Bacteroidetes,Flavobacteriia,Flavobacteriales,NS7 marine group,uncultured bacterium
denovo26567,Proteobacteria,Gammaproteobacteria,Run-SP154,uncultured bacterium,
denovo125295,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Haliscomenobacter
denovo52554,Saccharibacteria,uncultured bacterium,,,
denovo118095,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured
denovo25519,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12 marine group,uncultured bacterium
denovo60409,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
denovo43351,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,uncultured
denovo128143,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,uncultured
denovo49910,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncultured
denovo138121,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas
denovo150234,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12 marine group,uncultured bacterium
denovo50871,Verrucomicrobia,Spartobacteria,Chthoniobacterales,LD29,uncultured bacterium
denovo82286,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Dinghuibacter
denovo58184,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
denovo71135,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Alpinimonas
denovo33805,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Dechloromonas
denovo81365,Verrucomicrobia,OPB35 soil group,uncultured bacterium,,
denovo154661,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12 marine group,uncultured bacterium
denovo148533,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacterales Incertae Sedis,Terrimicrobium
denovo20572,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Pseudohongiella
denovo60005,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophaga
denovo7902,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29 marine group
denovo131443,Bacteroidetes,Bacteroidetes Incertae Sedis,Order III,BIgi5,uncultured bacterium
denovo18918,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncultured
denovo162686,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,uncultured
denovo157293,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Lewinella
denovo79257,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Haliscomenobacter
denovo117075,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae (Subgroup 4),45597
denovo77420,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,12up
denovo148188,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,uncultured
denovo60186,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
